Rk,School,Conf,G,W,L,SRS,SOS,Tm_Pts,Opp_Pts,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,ORtg,DRtg,AdjT,Luck,NetRtg,NetRtgNorm,LastFive,LastFiveNorm,OverEightScorers,OverEightScorersNorm,Experience,ExperienceNorm,,,,
226,Oklahoma,SEC,33,20,13,15.42,11.42,2602,2470,70,0.396,0.419,0.595,48.4,52,11.2,6.8,0.549,15.4,26.5,0.315,119,100.7,68.5,0.005,14.64,0.830360266,3,0.5,4,0.333333333,3,0.642750679,,,,
229,Omaha,Sum,34,22,12,-1.08,-2.86,2654,2551,69.2,0.366,0.39,0.571,52.1,49.3,8.6,7.5,0.537,13.8,29.1,0.265,111,110.5,67.7,0.071,-2.51,0.230500175,5,1,4,0.333333333,2.5,0.302454894,,,,
231,Oregon,B10,33,24,9,17.49,12.21,2515,2341,68.6,0.334,0.386,0.561,51.4,54.4,10.3,10.1,0.522,14.2,30.6,0.255,116.6,96.5,67.6,0.085,14.15,0.813221406,4,0.75,5,0.666666667,3.0556,0.68059157,,,,
244,Purdue,B10,33,22,11,20.68,13.89,2570,2346,66.6,0.346,0.381,0.592,51.1,57.7,9.8,5.3,0.563,13.6,31,0.253,124.2,100.4,65,-0.007,15.71,0.867785939,3,0.5,3,0,2.0556,0,,,,
253,Robert Morris,Horz,34,26,8,-0.05,-5.81,2613,2395,68.6,0.384,0.367,0.553,53.5,60.5,9.1,12.1,0.515,15.8,35.6,0.277,107,104.9,67.8,0.088,-6.25,0.099685205,5,1,6,1,2.73333,0.461257325,,,,
257,Saint Francis (PA),NEC,33,16,17,-12.53,-7.07,2347,2363,67.1,0.231,0.42,0.555,49.7,53.4,9.3,7,0.532,16.7,26.4,0.168,99.7,112.4,66.9,0.074,-6.8,0.080447709,5,1,5,0.666666667,2.25,0.132307001,,,,
260,Saint Mary's (CA),WCC,33,28,5,17.74,5.74,2426,2002,63.7,0.312,0.336,0.538,57.8,57.2,9.7,10.3,0.51,12.5,40.4,0.217,115.3,92.2,61.7,0.005,5.35,0.505421476,4,0.75,6,1,2.0667,0.007554566,,,,
265,San Diego State,MWC,30,21,9,13.77,8.04,2126,1909,66.2,0.314,0.4,0.536,50,51.3,11.5,18.7,0.511,14.2,29.8,0.209,109.8,93.5,66,0.01,8.73,0.623644631,3,0.5,4,0.333333333,2.8675,0.552572296,,,,
284,SIU Edwardsville,OVC,33,22,11,-5.85,-8.48,2396,2182,67.9,0.322,0.365,0.525,52,52.5,9.8,11.4,0.496,14.1,32.3,0.218,101.9,106.2,65.8,0.052,-9.1,0,3,0.5,3,0,2.93333,0.597375639,,,,
290,St. John's (NY),BE,34,30,4,21.76,8.93,2676,2240,70.4,0.302,0.303,0.525,53.9,53.7,12.8,15.1,0.497,12.9,37.3,0.208,113.9,87.5,70.1,-0.019,9.11,0.636935992,5,1,6,1,2.46154,0.276279342,,,,
